Listing Id,Minimum Nights,Maximum Nights,Calendar Updated,Availability 30,Availability 60,Availability 90,Availability 365
1,3,1125,a week ago,5,13,43,318
2,30,1125,yesterday,0,0,3,217
3,5,90,4 weeks ago,6,21,47,301
4,2,1125,5 weeks ago,8,35,59,334
5,1,1125,7 weeks ago,9,13,13,220
6,1,1125,a week ago,5,5,35,310
7,1,13,a week ago,6,26,56,146
8,1,730,4 weeks ago,2,32,62,337
9,2,1125,today,2,9,27,279
10,1,1125,today,6,24,51,317
11,3,1125,a week ago,20,50,80,355
12,3,1125,today,9,29,50,322
13,28,180,a week ago,4,34,64,339
14,5,200,a week ago,2,28,58,333
15,3,1125,today,1,21,21,56
16,1,1125,today,1,6,24,262
17,5,30,a week ago,0,25,53,323
18,3,1125,today,7,13,40,150
19,3,1125,2 weeks ago,0,26,26,61
20,2,1125,4 days ago,4,6,6,6
21,3,365,a week ago,0,12,33,308
22,3,1125,5 days ago,14,21,51,195
23,3,720,a week ago,5,35,65,340
24,3,35,today,16,42,72,77
25,7,28,2 months ago,6,7,7,42
26,3,1125,today,10,34,54,329
27,2,1125,2 days ago,1,20,49,139
28,7,1125,today,7,19,49,324
29,3,1125,today,0,0,0,0
30,3,1125,4 weeks ago,30,60,90,365
31,7,1125,4 weeks ago,0,3,33,308
32,4,1125,5 weeks ago,4,6,16,284
33,5,9,6 months ago,0,0,0,0
34,1,1125,today,2,13,36,124
35,3,1125,5 months ago,0,0,0,0
36,3,1125,4 weeks ago,5,15,41,313
37,1,1125,today,20,47,77,352
38,2,1125,2 months ago,7,28,37,287
39,3,14,today,8,27,55,321
40,3,10,a week ago,6,6,6,6
41,3,28,2 days ago,5,14,16,16
42,3,1125,today,16,46,49,115
43,2,1125,today,27,57,87,362
44,3,30,today,9,18,35,310
45,3,1125,a week ago,8,37,67,342
46,1,1125,never,0,0,0,0
47,1,1125,a week ago,29,59,89,364
48,1,1125,4 months ago,30,60,90,365
49,3,1125,3 days ago,3,25,47,305
50,1,1125,2 months ago,0,0,0,0
51,3,1125,2 weeks ago,0,0,4,279
52,3,1125,a week ago,3,15,45,138
53,1,1125,today,15,37,67,342
54,3,30,today,3,18,48,323
55,2,1125,3 weeks ago,0,15,45,320
56,3,1125,today,14,31,52,319
57,2,1125,2 weeks ago,5,29,59,327
58,2,1125,today,15,43,70,345
59,3,1125,today,6,7,9,284
60,16,16,27 months ago,0,0,0,0
61,1,1125,3 days ago,0,5,34,302
62,3,1125,6 weeks ago,0,0,18,293
63,1,1125,1 week ago,1,1,1,1
64,2,1125,a week ago,11,29,29,215
65,3,1125,3 days ago,4,4,4,4
66,3,1125,today,11,41,71,346
67,1,90,2 weeks ago,26,56,84,353
68,1,1125,3 weeks ago,0,26,40,314
69,3,18,yesterday,19,49,75,350
70,1,1125,today,5,18,38,38
71,3,7,8 months ago,0,0,0,0
72,1,1125,7 months ago,0,0,0,0
73,30,1125,5 days ago,0,0,3,157
74,7,1125,2 months ago,0,3,33,66
75,1,1125,3 weeks ago,6,6,6,6
76,2,10,today,19,43,73,348
77,3,30,6 weeks ago,4,4,4,10
78,1,1125,4 weeks ago,6,6,6,6
79,1,7,yesterday,5,6,11,14
80,1,10,4 days ago,16,43,73,348
81,2,7,4 weeks ago,29,59,89,364
82,1,1125,5 months ago,0,0,0,125
83,3,365,today,0,13,43,310
84,1,1125,yesterday,30,60,89,89
85,1,1125,a week ago,26,49,79,345
86,2,1125,2 weeks ago,0,3,33,258
87,3,1125,today,21,48,78,331
88,1,1125,2 weeks ago,19,19,19,266
89,3,60,3 weeks ago,8,14,38,258
90,2,30,today,23,53,83,347
91,1,1125,4 days ago,30,60,90,365
92,2,1125,4 days ago,6,22,44,231
93,2,1125,6 weeks ago,29,59,89,363
94,1,500,2 weeks ago,24,54,81,356
95,1,60,2 weeks ago,0,5,35,310
96,3,1125,5 months ago,29,59,89,178
97,2,1125,today,2,21,38,236
98,3,1125,2 months ago,30,60,90,365
99,4,365,4 weeks ago,0,0,18,293
100,1,1125,2 weeks ago,3,29,54,111
101,2,7,5 weeks ago,30,60,90,365
102,2,1125,today,3,31,50,77
103,1,1125,yesterday,30,60,90,365
104,3,14,5 months ago,0,0,0,150
105,1,29,yesterday,0,12,42,317
106,1,1125,3 months ago,30,60,90,365
107,1,1125,4 months ago,0,0,0,184
108,2,1125,today,26,56,86,361
109,1,1125,2 months ago,0,0,0,36
110,1,7,a week ago,0,0,0,135
111,2,1125,2 months ago,0,0,0,185
112,3,365,today,0,0,0,269
113,1,1125,3 weeks ago,6,6,6,103
114,1,1125,a week ago,18,18,18,37
115,1,30,3 days ago,30,59,59,59
116,1,1125,today,21,51,81,356
117,1,1125,15 months ago,30,60,90,365
118,3,1125,3 months ago,0,0,0,91
119,1,1125,14 months ago,0,0,0,0
120,1,27,yesterday,29,59,89,364
121,3,21,3 weeks ago,29,59,89,364
122,4,30,5 days ago,18,44,74,344
123,2,1125,4 weeks ago,0,0,0,0
124,4,14,3 months ago,0,8,8,8
125,1,1125,2 days ago,0,0,12,12
126,2,31,2 weeks ago,11,21,26,291
127,4,1125,9 months ago,0,0,0,91
128,2,29,today,7,7,7,7
129,2,6,6 months ago,0,0,0,0
130,1,1125,5 days ago,19,29,29,29
131,2,14,2 weeks ago,24,54,84,359
132,1,1125,2 months ago,0,0,0,0
133,8,35,yesterday,11,29,59,136
134,2,45,15 months ago,0,0,0,0
135,2,1125,9 months ago,0,0,0,0
136,1,28,6 weeks ago,30,60,90,365
137,1,1125,yesterday,30,60,89,89
138,4,28,yesterday,9,34,53,53
139,4,21,3 days ago,0,0,3,7
140,2,2,6 weeks ago,0,0,0,0
141,2,1125,18 months ago,0,0,0,0
142,3,1125,11 months ago,0,0,0,0
143,1,1125,17 months ago,0,0,0,0
144,30,180,5 days ago,0,0,11,184
145,1,20,today,3,21,36,302
146,3,3,today,0,0,0,34
147,2,100,2 days ago,7,20,46,46
148,1,1125,2 weeks ago,11,32,62,337
149,3,1125,3 weeks ago,0,0,0,0
150,1,1125,never,0,0,0,0
151,1,60,2 weeks ago,17,35,63,311
152,4,27,2 weeks ago,0,0,0,0
153,5,6,6 months ago,0,0,0,0
154,3,7,2 weeks ago,0,0,0,0
155,2,5,yesterday,0,0,0,230
156,1,1125,today,14,40,70,324
157,2,1125,today,8,25,37,49
158,3,1125,4 weeks ago,0,0,0,0
159,3,1125,14 months ago,0,0,0,0
160,1,4,4 days ago,14,14,18,18
161,2,365,today,9,15,21,225
162,5,40,6 months ago,0,0,0,0
163,1,1125,6 weeks ago,27,57,87,362
164,3,28,today,0,2,9,160
165,1,1125,today,0,0,0,0
166,1,1125,4 months ago,0,0,0,0
167,4,10,2 months ago,0,0,0,0
168,1,1125,yesterday,5,5,5,68
169,2,14,4 weeks ago,0,0,25,25
170,2,1125,2 days ago,26,56,85,85
171,1,1125,12 months ago,0,0,0,0
172,2,1125,today,0,0,0,251
173,1,1125,a week ago,10,25,55,330
174,2,1125,18 months ago,0,0,0,0
175,7,1125,3 weeks ago,10,10,33,33
176,1,9,2 months ago,0,0,0,0
177,1,1125,a week ago,30,60,90,365
178,3,7,today,0,0,0,0
179,2,1125,a week ago,24,46,76,351
180,3,14,5 months ago,30,60,90,365
181,1,1125,13 months ago,0,0,0,0
182,1,1125,14 months ago,0,0,0,0
183,2,31,yesterday,2,9,29,113
184,2,1125,today,10,10,10,10
185,3,1125,today,2,20,45,320
186,2,5,6 days ago,5,5,5,5
187,1,90,today,13,43,72,347
188,1,1125,5 days ago,13,40,65,65
189,1,1125,3 months ago,30,60,90,365
190,2,1125,19 months ago,0,0,0,216
191,1,1125,18 months ago,0,0,0,0
192,2,1125,today,17,40,56,56
193,3,1125,6 weeks ago,11,41,70,70
194,3,1125,a week ago,13,29,54,315
195,3,14,6 months ago,28,58,88,363
196,2,1125,today,23,27,37,37
197,1,7,4 months ago,30,60,90,365
198,4,14,4 days ago,25,55,85,360
199,3,1125,4 weeks ago,6,6,6,6
200,1,1125,3 weeks ago,0,6,36,311
201,1,1125,16 months ago,0,0,0,0
202,1,1125,a week ago,15,15,15,25
203,2,1125,4 days ago,0,0,0,0
204,1,1125,today,17,47,77,352
205,1,14,9 months ago,0,0,0,0
206,1,1125,10 months ago,0,0,0,0
207,3,1125,yesterday,11,34,60,332
208,1,1125,16 months ago,0,0,0,0
209,45,50,5 months ago,30,60,90,365
210,1,1125,37 months ago,0,0,0,0
211,1,1125,15 months ago,0,0,0,0
212,1,730,4 days ago,3,3,7,221
213,1,1125,17 months ago,0,0,0,0
214,1,1125,today,6,25,48,320
215,3,1125,today,23,48,48,48
216,1,180,a week ago,15,29,52,316
217,1,1125,today,9,20,48,135
218,1,1125,today,14,33,59,150
219,1,1125,8 months ago,0,0,0,0
220,1,1125,yesterday,20,44,69,69
221,2,1125,today,11,21,40,305
222,25,1125,today,30,60,90,365
223,2,1125,yesterday,30,60,90,365
224,3,14,14 months ago,0,0,0,0
225,1,1125,12 months ago,0,0,0,0
226,2,7,3 days ago,25,55,85,175
227,2,1125,2 weeks ago,22,52,82,357
228,3,11,today,10,10,10,10
229,1,1125,12 months ago,30,60,90,365
230,2,1125,3 days ago,8,8,38,313
231,4,9,24 months ago,0,0,0,0
232,2,14,3 days ago,17,17,17,25
233,4,12,4 days ago,13,13,18,18
234,1,30,yesterday,22,50,78,353
235,1,10,2 weeks ago,21,51,81,356
236,1,1125,6 days ago,13,34,64,339
237,1,1125,8 months ago,0,0,0,0
238,1,14,2 weeks ago,2,2,2,2
239,1,1125,6 weeks ago,20,50,80,170
240,1,1125,2 months ago,18,48,78,349
241,2,120,5 days ago,2,26,56,315
242,2,1125,2 weeks ago,0,0,7,273
243,3,30,2 weeks ago,26,46,76,351
244,1,90,2 months ago,0,19,49,324
245,2,1125,3 days ago,14,18,48,323
246,2,1125,today,9,9,9,264
247,2,1125,today,29,59,89,364
248,1,1125,3 days ago,23,53,82,82
249,2,1125,today,14,34,49,293
250,1,1000,today,30,60,89,89
251,1,30,yesterday,17,17,45,320
252,3,180,12 months ago,30,60,90,365
253,2,1125,3 weeks ago,23,48,78,180
254,3,28,2 weeks ago,4,34,64,153
255,1,1125,2 weeks ago,0,0,0,0
256,2,60,yesterday,30,60,90,365
257,1,1125,5 days ago,30,60,90,365
258,1,1125,6 days ago,30,60,90,365
259,3,60,yesterday,0,3,33,90
260,2,14,5 weeks ago,6,32,62,337
261,1,1125,3 weeks ago,30,60,90,365
262,1,30,today,17,47,73,344
263,4,365,today,1,1,4,279
264,2,30,2 weeks ago,30,60,90,365
265,3,1125,9 months ago,23,53,83,358
266,1,1125,3 months ago,0,0,0,132
267,3,1125,2 weeks ago,8,28,48,48
268,1,1125,4 weeks ago,20,50,80,355
269,1,1125,2 weeks ago,0,0,0,182
270,3,1125,yesterday,30,60,90,365
271,1,1125,today,3,24,53,53
272,1,10,never,0,0,0,275
273,1,1125,5 days ago,21,51,81,351
274,2,14,2 months ago,0,0,0,2
275,3,1125,5 days ago,0,0,25,300
276,1,1125,5 days ago,8,23,32,300
277,3,1125,today,26,49,79,337
278,1,1125,4 weeks ago,0,0,0,247
279,2,1125,3 weeks ago,30,60,90,365
280,2,14,2 months ago,26,56,86,361
281,3,1125,4 weeks ago,2,2,2,148
282,7,1125,4 weeks ago,0,0,0,30
283,5,1125,5 weeks ago,30,60,89,89
284,3,60,2 days ago,14,14,14,21
285,2,30,today,30,60,90,364
286,1,10,2 months ago,20,41,71,160
287,2,1125,today,16,20,50,231
288,1,1125,3 days ago,0,3,33,303
289,2,6,4 days ago,2,32,62,328
290,1,4,6 months ago,30,60,90,365
291,5,1125,5 weeks ago,0,0,0,126
292,2,1125,today,10,27,50,206
293,3,1125,a week ago,17,47,77,348
294,1,1125,3 weeks ago,0,0,0,2
295,1,3,2 days ago,22,39,69,344
296,3,90,4 days ago,0,0,15,288
297,1,1125,a week ago,30,60,90,358
298,1,60,today,30,60,90,365
299,2,1125,today,24,54,84,359
300,1,30,yesterday,23,38,68,157
301,13,1125,3 weeks ago,30,60,90,365
302,1,1125,3 weeks ago,28,58,87,87
303,1,1125,today,6,6,6,242
304,1,2,5 weeks ago,29,59,89,364
305,2,1125,yesterday,18,48,78,353
306,1,1125,3 months ago,30,60,90,365
307,2,1125,yesterday,17,42,68,68
308,1,1125,today,25,55,85,360
309,1,5,6 weeks ago,23,53,82,82
310,2,10,2 months ago,0,0,0,0
311,3,1125,3 months ago,0,0,0,212
312,1,7,today,13,13,13,80
313,1,1125,2 months ago,0,0,0,2
314,1,1125,6 weeks ago,30,60,90,365
315,1,1125,yesterday,0,0,20,20
316,2,3,3 months ago,0,0,0,196
317,2,1125,today,11,33,62,62
318,2,1125,a week ago,30,52,68,68
319,2,14,4 weeks ago,20,31,61,336
320,2,31,3 months ago,0,0,0,121
321,1,1125,6 weeks ago,30,59,88,363
322,1,1125,5 days ago,0,0,0,1
323,1,730,4 weeks ago,8,11,41,316
324,2,90,4 days ago,30,60,90,365
325,1,7,5 weeks ago,30,60,90,357
326,1,365,today,0,0,7,282
327,1,1125,5 months ago,0,0,0,176
328,2,28,today,2,32,62,337
329,1,1125,4 days ago,5,12,42,118
330,2,7,4 days ago,22,47,73,342
331,1,1125,today,3,16,33,303
332,3,90,3 weeks ago,0,0,0,95
333,29,1125,6 weeks ago,30,60,90,365
334,1,1125,5 days ago,14,42,70,70
335,1,1125,5 weeks ago,7,20,33,305
336,30,1125,3 days ago,29,51,52,304
337,30,1125,3 weeks ago,30,60,90,90
338,25,1125,3 weeks ago,18,48,78,353
339,2,365,3 days ago,21,48,78,274
340,1,30,yesterday,8,36,66,153
341,2,1125,yesterday,12,23,41,303
342,1,13,today,15,42,72,345
343,1,1125,a week ago,27,54,84,359
344,1,1125,a week ago,14,18,18,18
345,1,1125,today,7,34,64,64
346,3,60,today,16,23,38,308
347,2,1125,today,11,32,56,322
348,1,31,today,22,42,61,318
349,2,1125,today,20,47,77,97
350,1,29,today,9,33,60,149
351,1,1125,2 weeks ago,2,2,14,14
352,4,730,today,19,47,54,329
353,1,3,yesterday,27,49,58,204
354,1,1125,today,4,18,32,32
355,5,1125,a week ago,0,25,55,330
356,1,1125,3 weeks ago,30,60,90,365
357,2,1125,3 weeks ago,28,58,88,363
358,1,1125,3 weeks ago,0,0,0,0
359,2,1125,5 days ago,4,10,22,22
360,3,1125,3 days ago,4,11,18,287
361,1,1125,a week ago,0,0,23,298
362,2,14,5 days ago,15,36,61,336
363,2,30,5 days ago,5,15,43,318
364,4,30,2 months ago,0,0,0,231
365,1,1125,2 months ago,0,0,0,0
366,3,1125,a week ago,7,15,15,279
367,1,4,yesterday,23,52,82,172
368,3,30,3 days ago,0,3,33,33
369,2,1064,3 weeks ago,2,11,13,227
370,14,90,today,0,0,0,0
371,2,1125,a week ago,6,6,6,129
372,1,1125,today,30,51,51,51
373,1,1125,4 weeks ago,27,57,87,177
374,14,1125,3 weeks ago,23,53,83,358
375,1,90,3 weeks ago,14,44,74,74
376,7,270,yesterday,11,14,41,316
377,4,7,5 days ago,0,0,0,0
378,3,1125,2 days ago,29,59,89,89
379,30,1125,a week ago,30,60,90,365
380,2,30,yesterday,8,15,43,314
381,2,5,2 weeks ago,0,1,1,257
382,1,30,today,11,20,31,299
383,2,90,yesterday,6,6,6,269
384,1,1125,a week ago,4,4,7,13
385,3,1125,3 weeks ago,13,33,63,334
386,1,1125,2 days ago,19,44,71,343
387,1,1125,a week ago,0,7,20,195
388,3,1125,3 days ago,2,2,2,2
389,1,55,today,17,42,72,347
390,5,120,3 months ago,0,10,40,315
391,1,1125,5 months ago,30,60,90,365
392,2,30,today,12,30,60,321
393,1,1125,6 days ago,2,13,30,104
394,1,1125,3 weeks ago,26,56,86,86
395,3,30,yesterday,21,40,70,160
396,2,1125,a week ago,28,58,88,363
397,3,1125,a week ago,0,0,6,16
398,2,1125,today,9,31,61,84
399,2,1125,yesterday,18,33,63,150
400,2,1125,today,11,25,40,304
401,28,60,today,4,15,23,298
402,5,45,6 weeks ago,0,17,17,17
403,5,1125,today,16,31,58,320
404,1,180,2 months ago,30,60,90,365
405,2,1125,4 months ago,30,60,90,365
406,1,1125,4 months ago,0,0,0,0
407,2,10,6 weeks ago,30,60,90,365
408,2,30,5 weeks ago,17,47,77,166
409,2,14,6 weeks ago,0,0,0,58
410,2,1125,today,17,47,77,219
411,2,21,5 days ago,21,39,69,155
412,1,1125,2 weeks ago,1,1,1,125
413,1,1125,today,11,41,71,160
414,1,90,today,8,38,68,189
415,2,1125,today,25,55,85,359
416,2,365,today,20,44,74,158
417,2,365,today,28,58,86,172
418,1,1125,today,0,10,10,251
419,2,1125,yesterday,25,49,73,273
420,3,1125,today,15,36,59,327
421,2,60,yesterday,18,41,68,322
422,1,60,4 days ago,30,60,90,361
423,2,1125,yesterday,20,50,80,138
424,2,1125,5 days ago,21,46,74,345
425,3,1125,3 weeks ago,0,8,36,275
426,1,60,4 days ago,29,59,88,88
427,2,1125,2 months ago,0,0,0,2
428,1,5,4 months ago,0,0,0,0
429,1,30,6 weeks ago,12,24,38,226
430,2,1125,2 months ago,29,59,86,295
431,4,1125,today,22,39,69,337
432,3,1125,5 weeks ago,0,0,0,244
433,1,1125,3 days ago,3,3,3,5
434,2,1125,5 days ago,25,25,25,117
435,1,365,2 weeks ago,30,60,90,365
436,1,1125,7 weeks ago,30,60,90,363
437,2,7,5 days ago,16,32,49,49
438,2,29,4 weeks ago,30,60,90,365
439,1,1125,27 months ago,0,0,0,0
440,30,1125,6 days ago,2,2,2,80
441,2,8,16 months ago,0,0,0,0
442,2,14,a week ago,1,4,14,14
443,2,150,1 week ago,13,31,61,146
444,2,1125,yesterday,6,10,19,246
445,2,7,22 months ago,0,0,0,0
446,3,10,5 weeks ago,0,0,0,91
447,2,20,5 days ago,4,5,6,177
448,1,1125,14 months ago,0,0,0,0
449,1,13,2 months ago,0,0,0,0
450,1,29,2 weeks ago,27,57,85,168
451,3,365,24 months ago,0,0,0,0
452,1,1125,7 months ago,0,0,0,0
453,1,21,2 weeks ago,6,13,27,27
454,1,1125,5 days ago,14,36,66,104
455,1,321,today,30,60,90,365
456,1,15,today,0,0,0,0
457,1,1125,18 months ago,0,0,0,0
458,1,1125,15 months ago,0,0,0,0
459,1,1125,today,19,32,51,307
460,2,1125,3 weeks ago,0,0,0,0
461,2,1125,7 months ago,0,0,0,0
462,4,1125,2 weeks ago,0,0,0,0
463,1,21,5 days ago,14,14,14,14
464,1,21,5 days ago,24,24,24,24
465,1,21,5 days ago,3,7,24,24
466,2,1125,a week ago,0,25,46,125
467,1,1125,3 months ago,9,32,41,284
468,1,90,3 days ago,24,24,24,110
469,1,31,yesterday,1,5,11,42
470,2,60,4 months ago,30,60,90,365
471,1,4,3 months ago,29,59,89,364
472,7,1125,2 months ago,30,60,90,358
473,5,31,a week ago,3,12,28,160
474,3,7,4 days ago,0,0,0,4
475,1,15,8 months ago,0,0,0,0
476,3,21,3 days ago,5,20,27,27
477,3,16,5 weeks ago,30,60,89,89
478,4,35,4 months ago,0,0,0,0
479,2,21,today,9,35,65,65
480,7,90,today,30,60,90,365
481,4,30,3 days ago,22,52,75,95
482,3,29,5 months ago,0,0,0,183
483,2,35,5 months ago,0,0,0,0
484,1,1125,3 days ago,30,56,56,269
485,1,14,3 days ago,28,54,54,145
486,30,1125,3 days ago,30,60,90,333
487,1,1125,11 months ago,0,0,0,0
488,5,35,yesterday,0,0,0,55
489,31,186,today,2,32,48,239
490,2,29,a week ago,19,41,65,150
491,3,180,3 weeks ago,0,0,7,233
492,2,1125,14 months ago,0,0,0,0
493,2,28,6 days ago,0,5,7,42
494,4,14,6 weeks ago,0,0,0,0
495,5,1125,today,9,39,68,68
496,2,15,15 months ago,0,0,0,0
497,1,30,yesterday,10,37,67,67
498,2,1125,6 days ago,0,2,2,13
499,2,1125,yesterday,12,12,12,12
500,3,14,today,13,13,13,13
501,3,1125,today,17,47,77,77
502,3,1125,14 months ago,0,0,0,0
503,2,365,2 months ago,0,0,0,0
504,5,20,22 months ago,0,0,0,0
505,30,300,3 weeks ago,0,0,0,19
506,1,1125,21 months ago,0,0,0,0
507,3,1125,11 months ago,0,0,0,0
508,3,4,1 week ago,0,1,1,1
509,1,1125,14 months ago,0,0,0,0
510,4,30,today,0,3,19,50
511,4,1125,5 months ago,0,0,0,0
512,1,30,yesterday,6,22,45,45
513,30,1125,a week ago,26,56,85,85
514,1,1125,26 months ago,0,0,0,0
515,30,1125,a week ago,6,36,65,65
