Listing Id,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Reviews per Month
1,1,100,10,10,10,10,10,10,0.48
2,3,100,10,10,10,10,10,10,0.47
3,13,93,10,9,10,10,9,10,0.34
4,28,94,10,10,10,10,10,10,4.35
5,2,100,10,10,10,10,10,10,2
6,9,98,10,10,10,10,10,10,1.68
7,32,96,10,9,10,10,10,10,2.66
8,27,97,10,10,10,10,9,10,0.45
9,13,100,10,10,10,10,10,10,3
10,77,91,9,9,9,9,9,9,1.72
11,0,96,10,10,10,10,10,10,1.02
12,1,60,8,10,10,10,10,8,1
13,6,90,9,10,10,10,10,10,0.35
14,1,100,8,8,10,10,10,10,1
15,1,100,10,10,10,8,10,10,0.56
16,0,96,10,10,10,10,10,10,1.02
17,0,96,10,10,10,10,10,10,1.02
18,30,97,10,10,10,10,10,10,2.2
19,0,96,10,10,10,10,10,10,1.02
20,23,95,10,9,10,10,10,9,3.22
21,68,92,9,9,10,10,10,9,2.49
22,7,89,8,9,9,9,10,9,0.53
23,1,96,10,10,10,10,10,10,0.06
24,11,96,10,9,9,10,10,9,0.71
25,0,96,10,10,10,10,10,10,1.02
26,14,87,9,9,9,9,10,9,0.75
27,19,89,9,9,10,10,10,9,5.88
28,0,96,10,10,10,10,10,10,1.02
29,0,96,10,10,10,10,10,10,1.02
30,1,80,10,8,10,10,10,10,0.11
31,6,90,9,10,10,10,9,8,0.49
32,6,93,10,9,10,9,10,10,4
33,0,96,10,10,10,10,10,10,1.02
34,21,87,9,9,9,9,10,9,1.23
35,2,100,8,10,10,10,10,10,0.07
36,1,96,10,10,10,10,10,10,0.86
37,8,83,10,8,9,8,10,9,0.82
38,60,96,10,10,9,9,10,10,4.96
39,0,96,10,10,10,10,10,10,1.02
40,0,96,10,10,10,10,10,10,1.02
41,1,100,10,10,10,10,10,10,1
42,4,85,8,10,10,9,9,8,0.31
43,4,100,10,10,10,10,10,10,1.94
44,96,96,10,10,10,10,10,10,3.07
45,1,100,10,10,10,10,10,10,1
46,0,96,10,10,10,10,10,10,1.02
47,0,96,10,10,10,10,10,10,1.02
48,0,96,10,10,10,10,10,10,1.02
