Tweet_Id,Text,cre_tms,location,retweet_cnt,fav_cnt,user_name,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,urls
9.80978E+17,"RT @365places2Visit: Awesome Places To Stay  📍New York, NY
We're obsessed with .@Airbnb Who doesn't love privacy, full kitchens &amp; washers &amp;…",03-04-2018 01:19,"Florida, USA",20,0,FunMoneyMom,,,,,,,,,,,,
9.80976E+17,RT @Seraphimslair: #HELLOAPRIL! Thanks everyone for the RT's &amp; Hello @aashishgoldy - first contact - hope to see more interaction! A very #…,03-04-2018 01:11,"Gilbertsville, PA",5,0,EternityDesignD,HELLOAPRIL,,,,,,,,,,,
9.80976E+17,RT @Seraphimslair: Welcoming new followers @titalola_com @1_Cherro @APLHLondon @capblock_fr @AllenWatson23  @AntonioParis @HeritageHaven  @…,03-04-2018 01:11,"Gilbertsville, PA",3,0,EternityDesignD,,,,,,,,,,,,
9.80976E+17,RT @Seraphimslair: This #Masons #BEAUTY is now #SOLD! Lots more at #Seraphimslair's #PotteryBarn! #ShopSmall #SmallBiz #Gifts #Vintage #Spr…,03-04-2018 01:11,"Gilbertsville, PA",5,0,EternityDesignD,Masons, BEAUTY, SOLD, Seraphimslair, PotteryBarn, ShopSmall, SmallBiz, Gifts, Vintage,,,
9.80976E+17,RT @Seraphimslair: Another #BLUE #BEAUTY-#SOLD! Lots more #GLASS #ART at #Seraphimslair's #GlassShack! #ShopSmall #SmallBiz #Gifts #Flowers…,03-04-2018 01:10,"Gilbertsville, PA",6,0,EternityDesignD,BLUE, BEAUTY, SOLD, GLASS, ART, Seraphimslair, GlassShack, ShopSmall, SmallBiz, Gifts, Flowers,
9.80976E+17,Neighbor is making waves in Utah. @DeseretNews just wrote an article about some of our latest announcements. Won’t… https://t.co/VGV8SmyXlz,03-04-2018 01:10,United States,0,0,neighborstorage,,,,,,,,,,,,https://twitter.com/i/web/status/980975709123260417
9.80976E+17,RT @Seraphimslair: This #CrownDevon #BEAUTY just #SOLD to #ITALY! More at #Seraphimslair's #PotteryBarn! #ShopSmall #SmallBiz #GiftIdeas #V…,03-04-2018 01:09,"Gilbertsville, PA",15,0,EternityDesignD,CrownDevon, BEAUTY, SOLD, ITALY, Seraphimslair, PotteryBarn, ShopSmall, SmallBiz, GiftIdeas,,,
9.80976E+17,RT @Seraphimslair: #HELLOAPRIL🌸Check out #Seraphimslair for #Spring #GiftIdeas #ShopSmall #SmallBiz #USA #UK #London #NewEngland #Airbnb #W…,03-04-2018 01:09,"Gilbertsville, PA",4,0,EternityDesignD,HELLOAPRIL, Seraphimslair, Spring, GiftIdeas, ShopSmall, SmallBiz, USA, UK, London, NewEngland, Airbnb,
9.80973E+17,RT @Seraphimslair: #HAPPYEASTERSUNDAY &amp; #HELLOAPRIL!!! Check out #Seraphimslair for #Spring #GiftIdeas #ShopSmall #SmallBiz #USA #UK #Londo…,03-04-2018 00:59,"Tehachapi, CA",30,0,tulipteardrops,HAPPYEASTERSUNDAY, HELLOAPRIL, Seraphimslair, Spring, GiftIdeas, ShopSmall, SmallBiz, USA, UK,,,
9.80973E+17,@AirBnB can be a great way to make some extra ca$h in #LA!!  Consider listing your home/apartment/room!  (Especiall… https://t.co/y6fs1dZLTl,03-04-2018 00:59,"DALEY PLANET, California",0,1,jessedaley,LA,,,,,,,,,,,https://twitter.com/i/web/status/980973054971924480
9.80971E+17,Does Plymouth collect any taxes or dues from short-term rentals like #Airbnb? @frankmandOCM @VisitPlymouthMA @MelissaArrighi ??,03-04-2018 00:51,Boston/Plymouth,0,0,smfey,Airbnb,,,,,,,,,,,
9.8097E+17,"RT @FIVRE604: I take it you're on this @CityofVancouver ?
#Airbnb
Easy to get addresses from George https://t.co/xyHOnE5WxP",03-04-2018 00:47,"Vancouver, British Columbia",1,0,vanprole,Airbnb,,,,,,,,,,,https://twitter.com/george_affleck/status/980514295581569024
9.8097E+17,"RT @365places2Visit: Awesome Places To Stay  📍New York, NY
We're obsessed with .@Airbnb Who doesn't love privacy, full kitchens &amp; washers &amp;…",03-04-2018 00:45,,20,0,n3chelle,,,,,,,,,,,,
9.80969E+17,Sign up to #host on #Airbnb and use the extra income to fund your passions. Here’s my invitation link: https://t.co/elTt6FwYwM,03-04-2018 00:43,Oceana,0,0,amysticgirl,host, Airbnb,,,,,,,,,,https://abnb.me/e/HywtvXsKNL
9.80968E+17,RT @RonPolly: $20 million condo at #Decottis place on water for sale..  Brags of no empty home tax and #airbnb rights.. The map is wrong fo…,03-04-2018 00:37,#TheVancouverModel,1,0,mtnbvan,Decottis, airbnb,,,,,,,,,,
9.80967E+17,This is what an #eveningin looks like at our #airbnb in #tamarindo #costarica not too bad at all… https://t.co/h4PzpyUgQS,03-04-2018 00:36,Calgary,0,0,advcampitelli,eveningin, airbnb, tamarindo, costarica,,,,,,,,https://www.instagram.com/p/BhFqFCulXa5/
9.80966E+17,"I take it you're on this @CityofVancouver ?
#Airbnb
Easy to get addresses from George https://t.co/xyHOnE5WxP",03-04-2018 00:31,"Vancouver, British Columbia",1,2,FIVRE604,Airbnb,,,,,,,,,,,https://twitter.com/george_affleck/status/980514295581569024
9.80966E+17,#vacationRentals #villa for your #holidays. #bestplacestogo #summer2018   #airbnbexperiences #AirbnbLove #airbnb… https://t.co/XFttFBEIpp,03-04-2018 00:30,Ελλάς,0,0,IkarianB,vacationRentals, villa, holidays, bestplacestogo, summer2018, airbnbexperiences, AirbnbLove, airbnb,,,,https://twitter.com/i/web/status/980965680873902080
9.80963E+17,'The @AirBnB Effect' on #NYC #Housing #Shortage https://t.co/O22TKzY0Yr #CribRater #Crib #Apartments #Rent #RealEstate #AirBnB,03-04-2018 00:18,New York City,0,0,WeRetaliate1st,NYC, Housing, Shortage, CribRater, Crib, Apartments, Rent, RealEstate, AirBnB,,,http://goo.gl/pudBsV
9.80962E+17,RT @Bed_and_Stay: Come to Tokyo and explore the beautiful temples and shrines #Airbnb #airnbnbtokyo #bedstay #vacationrentals https://t.co/…,03-04-2018 00:17,,2,0,nomura57010517,Airbnb, airnbnbtokyo, bedstay, vacationrentals,,,,,,,,
9.80962E+17,RT @Bed_and_Stay: Visit the Imperial Paalace grounds a daily at 10:00 and 13:30 except on Sundays and Mondays. Check our #airbnb listsing:…,03-04-2018 00:17,,3,0,nomura57010517,airbnb,,,,,,,,,,,
9.80959E+17,"RT @365places2Visit: Awesome Places To Stay  📍New York, NY
We're obsessed with .@Airbnb Who doesn't love privacy, full kitchens &amp; washers &amp;…",03-04-2018 00:05,Connecticut,20,0,SimplyTasheena,,,,,,,,,,,,
9.80959E+17,"RT @365places2Visit: Awesome Places To Stay  📍New York, NY
We're obsessed with .@Airbnb Who doesn't love privacy, full kitchens &amp; washers &amp;…",03-04-2018 00:02,"Cleveland, OH",20,0,GlamKaren,,,,,,,,,,,,
9.80958E+17,RT @cottage_green: Margaritaville Lazy Susan Beach Decor-Nautical Theme-Table Centerpiece https://t.co/A4jhFo14tl via @Etsy Phenomenal Cent…,03-04-2018 00:01,,14,0,sl196014_c,,,,,,,,,,,,https://etsy.me/2JaNWI0
9.80958E+17,"RT @MadRoadTrip: This is where i feel alive !
Let’s book your trip now .
https://t.co/8RHsu5PHOA
#madroadtrip #madeiraroadtrip #visitmadeir…",03-04-2018 00:01,,1,0,hashtagvanlife,madroadtrip, madeiraroadtrip,,,,,,,,,,http://www.madroadtrip.com
9.80958E+17,A farm stay. #travel #wanderlust #adventure #iceland #kirkjuferjuhjáleiga #horsefarm #airbnb… https://t.co/GOwdF61NOl,03-04-2018 00:00,Singapore,0,0,onefinesunday,travel, wanderlust, adventure, iceland, kirkjuferjuhjáleiga, horsefarm, airbnb,,,,,https://www.instagram.com/p/BhFmCe_gFWx/
9.80958E+17,"Podcast: Framingham Mayor Yvonne Spicer talks parking, pot and Airbnb - MetroWest Daily News https://t.co/5hQJ0HLOPc #民泊 #民泊情報 #airbnb",03-04-2018 00:00,東京都,0,0,stayllect,民泊, 民泊情報, airbnb,,,,,,,,,http://www.metrowestdailynews.com/news/20180402/podcast-framingham-mayor-yvonne-spicer-talks-parking-pot-and-airbnb
9.80958E+17,"Love pets?⠀
Do visit this year's phoenix pet expo and book a  pleasant stay with us.⠀
⠀
https://t.co/mh2CY6yUze
⠀… https://t.co/SiP6qk469C",03-04-2018 00:00,"Arizona, USA",0,0,Macontraveleasy,,,,,,,,,,,,http://macontraveleasy.com/
9.80958E+17,RT @Seraphimslair: #HELLOAPRIL🌸Check out #Seraphimslair for #Spring #GiftIdeas #ShopSmall #SmallBiz #USA #UK #London #NewEngland #Airbnb #W…,02-04-2018 23:58,,4,0,Janecharlotte11,HELLOAPRIL, Seraphimslair, Spring, GiftIdeas, ShopSmall, SmallBiz, USA, UK, London, NewEngland, Airbnb,
9.80957E+17,RT @Seraphimslair: This #CrownDevon #BEAUTY just #SOLD to #ITALY! More at #Seraphimslair's #PotteryBarn! #ShopSmall #SmallBiz #GiftIdeas #V…,02-04-2018 23:57,"North East, England",15,0,Seraphimslair,CrownDevon, BEAUTY, SOLD, ITALY, Seraphimslair, PotteryBarn, ShopSmall, SmallBiz, GiftIdeas,,,
